ID,Description,Date
"T260331083023","create e-learning for records management","2026-03-31 08:30"
"T260331083036","create e-learning for new procurement act","2026-03-31 08:30"
"T260331083042","create e-learning for lands","2026-03-31 08:30"
"T260331083157","create e-learning for RA 6713 ARTA and RACCS 2025","2026-03-31 08:31"
"T260331083243","fix records in the file cabinet and container","2026-03-31 08:32"
"T260331083408","update WIIMS if there is time","2026-03-31 08:34"
"T260331083514","create a centralized e-learning website","2026-03-31 08:35"
"T260331083536","improve csc reviewer","2026-03-31 08:35"
"T260331083602","improve ipv4 subnetting exercise and add ipv6 subnetting exercise","2026-03-31 08:36"
"T260331083609","study for CCNA exam","2026-03-31 08:36"
"T260331083640","enroll to Masters in IT or Public Ads","2026-03-31 08:36"
"T260331083721","add geotagged photos to WIIMS","2026-03-31 08:37"
"T260331084529","enroll to master card","2026-03-31 08:45"
"T260331085236","scan old files for archive","2026-03-31 08:52"
"T260331085250","encrypt new external drive for archiving","2026-03-31 08:52"
"T260331085347","study for CC certificate in cybersecurity","2026-03-31 08:53"
"T260331085556","study for Python Essentials 1 and 2","2026-03-31 08:55"
"T260331085606","study for Python+AI+Automation","2026-03-31 08:56"
"T260331085617","study React","2026-03-31 08:56"
"T260331085635","study Django framework","2026-03-31 08:56"
"T260331085647","study Ethical Hacking","2026-03-31 08:56"
"T260331094756","apply to DICT","2026-03-31 09:47"
"T260331111542","check the ff: your iaccess landbank your phone emails printer ink level","2026-03-31 11:15"
"T260414082731","create pr for consumable not included in CAMS","2026-04-14 08:27"
